responden,jenis_kelamin,usia,pendidikan,penghasilan,aktivitas_meningkat_1,aktivitas_meningkat_2,aktivitas_meningkat_3,aktivitas_meningkat_4,aktivitas_meningkat_5,memiliki_akun_digital_bank?,digital_bank_pilihan_1,digital_bank_pilihan_2,digital_bank_pilihan_3,digital_bank_pilihan_4,digital_bank_pilihan_5,alasan_1,alasan_2,alasan_3,alasan_4,alasan_5,fitur_1,fitur_2,fitur_3,fitur_4,fitur_5,keluhan_1,keluhan_2,keluhan_3
1,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,,,,,,,,fitur yang ditawarkan beragam dan memenuhi kebutuhan,promo,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,,,
2,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,,Jago by Bank Jago,,,kemudahan transaksi,,kemudahan pembukaan rekening,fitur yang ditawarkan beragam dan memenuhi kebutuhan,promo,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",Pembayaran Tagihan,Mutasi rekening/ History Transaksi/ Spending Tracker,,,
3,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
4,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,tidak,,,,,,,,,,,,,,,,,,
5,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
6,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,,,,,
7,Laki – laki,>50 tahun,S1,> Rp 10 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,,karena sedang tren,,,,,,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,,Tidak melakukan transaksi tapi saldo berkurang/ ada transaksi,
8,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
9,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,kemudahan transaksi,karena sedang tren,kemudahan pembukaan rekening,,promo,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",Pembayaran Tagihan,Mutasi rekening/ History Transaksi/ Spending Tracker,,,Kesulitan menghubungi customer service
10,Perempuan,>50 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
11,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Blu by Bank BCA,,kemudahan transaksi,karena sedang tren,,,promo,,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",Pembayaran Tagihan,Mutasi rekening/ History Transaksi/ Spending Tracker,Transaksi tidak berhasil namun saldo berkurang,,Kesulitan menghubungi customer service
12,Laki – laki,41-50 tahun,S1,> Rp 10 juta,Berbelanja online,,,Akses media sosial,Melakukan konsultasi kesehatan secara online,tidak,,,,,,,,,,,,,,,,,,
13,Laki – laki,41-50 tahun,S1,Rp 5 juta – Rp 10 juta,,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
14,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
15,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,,,kemudahan pembukaan rekening,,,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,,,
16,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,,,,,
17,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
18,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
19,Laki – laki,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,,karena sedang tren,,,,,,,,,,,
20,Perempuan,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
21,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
22,Perempuan,>50 tahun,S2,> Rp 10 juta,,,,,,ya,Jenius by Bank BTPN,,,,,,,kemudahan pembukaan rekening,,,,Transfer,,,,Transaksi tidak berhasil namun saldo berkurang,,
23,Laki – laki,21-30 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
24,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
25,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
26,Perempuan,41-50 tahun,S1,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,Akses media sosial,,ya,,,,,,,,,,,,Transfer,,,,,,
27,Laki – laki,>50 tahun,S2,Rp 5 juta – Rp 10 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
28,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
29,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
30,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
31,Perempuan,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
32,Laki – laki,41-50 tahun,S1,> Rp 10 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
33,Laki – laki,21-30 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
34,Perempuan,41-50 tahun,tidak menjawab,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
35,Laki – laki,21-30 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
36,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,,,,tidak,,,,,,,,,,,,,,,,,,
37,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
38,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,,,,,,,,,Transfer,,,,,,
39,Perempuan,15-20 tahun,S1,< Rp 2 juta,,,,,,ya,Jenius by Bank BTPN,,,,,kemudahan transaksi,,,,,Cek Saldo,Transfer,,,,,,
40,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
41,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
42,Laki – laki,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
43,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
44,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
45,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Blu by Bank BCA,,kemudahan transaksi,,,,,Cek Saldo,Transfer,,Pembayaran Tagihan,,Transaksi tidak berhasil namun saldo berkurang,,
46,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,Digibank by Bank DBS,Jago by Bank Jago,Blu by Bank BCA,,,,,,promo,,Transfer,,,,,,
47,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,kemudahan transaksi,,kemudahan pembukaan rekening,fitur yang ditawarkan beragam dan memenuhi kebutuhan,,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,,,
48,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
49,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
50,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
51,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
52,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
53,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
54,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
55,Perempuan,>50 tahun,S1,Rp 5 juta – Rp 10 juta,,,,,,tidak,,,,,,,,,,,,,,,,,,
56,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,,,,fitur yang ditawarkan beragam dan memenuhi kebutuhan,,,,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,,,
57,Laki – laki,21-30 tahun,S1,Rp 5 juta – Rp 10 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,Jenius by Bank BTPN,,,,,kemudahan transaksi,,kemudahan pembukaan rekening,fitur yang ditawarkan beragam dan memenuhi kebutuhan,,Cek Saldo,Transfer,,,,,Tidak melakukan transaksi tapi saldo berkurang/ ada transaksi,
58,Laki – laki,21-30 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
59,Perempuan,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
60,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
61,Perempuan,15-20 tahun,SMA,Rp 5 juta – Rp 10 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
62,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
63,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
64,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
65,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
66,Perempuan,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
67,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
68,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
69,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
70,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
71,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
72,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
73,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
74,Laki – laki,41-50 tahun,S1,Rp 5 juta – Rp 10 juta,,Streaming video/ film,,Akses media sosial,,ya,,,,,,kemudahan transaksi,,,,,Cek Saldo,Transfer,,,,,,
75,Perempuan,21-30 tahun,S1,< Rp 2 juta,,,,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,,,kemudahan pembukaan rekening,,promo,,,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,,,
76,Perempuan,>50 tahun,S1,Rp 5 juta – Rp 10 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
77,Perempuan,41-50 tahun,S1,Rp 5 juta – Rp 10 juta,Berbelanja online,Streaming video/ film,,,,ya,Jenius by Bank BTPN,,,,,,,kemudahan pembukaan rekening,,,,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,,,
78,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
79,Perempuan,>50 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
80,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
81,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,,,,,
82,Perempuan,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
83,Perempuan,41-50 tahun,S1,> Rp 10 juta,,,,,,tidak,,,,,,,,,,,,,,,,,,
84,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,,,,,
85,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,ya,,,Jago by Bank Jago,,,,karena sedang tren,,,,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,,,
86,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,Jago by Bank Jago,,,kemudahan transaksi,karena sedang tren,kemudahan pembukaan rekening,,promo,Cek Saldo,Transfer,,,,,,
87,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
88,Perempuan,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
89,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
90,Perempuan,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
91,Perempuan,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,,,ya,Jenius by Bank BTPN,,,,,,karena sedang tren,,,promo,Cek Saldo,Transfer,,,Mutasi rekening/ History Transaksi/ Spending Tracker,,Tidak melakukan transaksi tapi saldo berkurang/ ada transaksi,
92,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
93,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,tidak,,,,,,,,,,,,,,,,,,
94,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
95,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,tidak,,,,,,,,,,,,,,,,,,
96,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
97,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
98,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,,,,,,,,,,,Pembayaran Tagihan,,,,
99,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,kemudahan transaksi,,kemudahan pembukaan rekening,fitur yang ditawarkan beragam dan memenuhi kebutuhan,,,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,,,
100,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
101,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
102,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
103,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,,,Blu by Bank BCA,,kemudahan transaksi,,kemudahan pembukaan rekening,,,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",Pembayaran Tagihan,,,,
104,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
105,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
106,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,,,,,
107,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
108,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
109,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
110,Laki – laki,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
111,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
112,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
113,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
114,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
115,Laki – laki,31-40 tahun,S1,Rp 5 juta – Rp 10 juta,,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
116,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
117,Laki – laki,31-40 tahun,S2,> Rp 10 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,,,,Blu by Bank BCA,,kemudahan transaksi,,kemudahan pembukaan rekening,,,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,Mutasi rekening/ History Transaksi/ Spending Tracker,,,
118,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
119,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
120,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
121,Laki – laki,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,,,,,,tidak,,,,,,,,,,,,,,,,,,
122,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
123,Laki – laki,31-40 tahun,S1,> Rp 10 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
124,Perempuan,41-50 tahun,S1,< Rp 2 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
125,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,tidak,,,,,,,,,,,,,,,,,,
126,Perempuan,>50 tahun,S1,Rp 5 juta – Rp 10 juta,,,,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,,,,,,,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,,,
127,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
128,Laki – laki,< 15 tahun,SD,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
129,Laki – laki,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,,,,,ya,Jenius by Bank BTPN,,,,,,,,fitur yang ditawarkan beragam dan memenuhi kebutuhan,,Cek Saldo,,,,,,,
130,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
131,Perempuan,31-40 tahun,S1,Rp 5 juta – Rp 10 juta,,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
132,Laki – laki,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,,,,,tidak,,,,,,,,,,,,,,,,,,
133,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,,,,,,,kemudahan pembukaan rekening,,,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",Pembayaran Tagihan,,,,
134,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
135,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,,,,tidak,,,,,,,,,,,,,,,,,,
136,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,,,,tidak,,,,,,,,,,,,,,,,,,
137,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,,,Akses media sosial,,ya,,,,,Neo by Bank Neo Commerce,kemudahan transaksi,,,,,,Transfer,,,,,,
138,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
139,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,tidak,,,,,,,,,,,,,,,,,,
140,Laki – laki,41-50 tahun,S1,Rp 5 juta – Rp 10 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
141,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,ya,Jenius by Bank BTPN,,,,,kemudahan transaksi,,,,,,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,,,
142,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
143,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
144,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
145,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
146,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,,,,,
