responden,jenis_kelamin,usia,pendidikan,penghasilan,aktivitas_meningkat_1,aktivitas_meningkat_2,aktivitas_meningkat_3,aktivitas_meningkat_4,aktivitas_meningkat_5,menggunakan_ecommerce?,ecommerce_pilihan_1,ecommerce_pilihan_2,ecommerce_pilihan_3,ecommerce_pilihan_4,ecommerce_pilihan_5,tujuan_1,tujuan_2,tujuan_3,tujuan_4,tujuan_5,alasan_1,alasan_2,alasan_3,alasan_4,alasan_5,keluhan_1,keluhan_2,keluhan_3
1,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,Lebih murah,,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,
2,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
3,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,,tiket pesawat,,,,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
4,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,Tokopedia,Shopee,,,,fashion,handphone,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,
5,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,,buku/koleksi,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
6,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,buku/koleksi,,,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
7,Laki – laki,>50 tahun,S1,> Rp 10 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,Tokopedia,,,,,,,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
8,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,,,,,,handphone,,,,,,,,Menghindari keramaian (karena COVID-19),,,
9,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,,,,,,,,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,,,,
10,Perempuan,>50 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,Akses media sosial,,ya,Tokopedia,,,"Gojek (GoFood, GoShop, dll)",,,,,,,,,,,Menghindari keramaian (karena COVID-19),,,
11,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,,,"Gojek (GoFood, GoShop, dll)",,,,,tiket pesawat,buku/koleksi,,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,
12,Laki – laki,41-50 tahun,S1,> Rp 10 juta,Berbelanja online,,,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,,,Banyak promo,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
13,Laki – laki,41-50 tahun,S1,Rp 5 juta – Rp 10 juta,,Streaming video/ film,,Akses media sosial,,ya,,,,,Traveloka,,,,tiket pesawat,,,,,,,,Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,
14,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,,Lebih murah,Banyak promo,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
15,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,,Lebih murah,Banyak promo,,,,,,
16,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,ya,Tokopedia,Shopee,,,,,handphone,,tiket pesawat,buku/koleksi,,Banyak promo,,,,,Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
17,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
18,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,,,,,makanan/minuman,tiket pesawat,,,,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
19,Laki – laki,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,handphone,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
20,Perempuan,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
21,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
22,Perempuan,>50 tahun,S2,> Rp 10 juta,,,,,,ya,,,,"Gojek (GoFood, GoShop, dll)",,,,,tiket pesawat,,,,,,Menghindari keramaian (karena COVID-19),,,
23,Laki – laki,21-30 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,,tiket pesawat,buku/koleksi,,,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
24,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,Tokopedia,Shopee,,,,fashion,,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,,"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,
25,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,,Traveloka,fashion,,,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
26,Perempuan,41-50 tahun,S1,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
27,Laki – laki,>50 tahun,S2,Rp 5 juta – Rp 10 juta,,,,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,,,,,,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
28,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
29,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
30,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,Tokopedia,Shopee,Lazada,,,,handphone,,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,,"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,
31,Perempuan,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,,Dapat belanja kapan saja dan di mana saja,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
32,Laki – laki,41-50 tahun,S1,> Rp 10 juta,,,,Akses media sosial,,ya,,Shopee,,,,,,,tiket pesawat,,,,Lebih banyak pilihan toko dan produk,,Menghindari keramaian (karena COVID-19),,,
33,Laki – laki,21-30 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",Traveloka,,,makanan/minuman,tiket pesawat,,,Banyak promo,,,,"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
34,Perempuan,41-50 tahun,tidak menjawab,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,Tokopedia,,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,,,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
35,Laki – laki,21-30 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",Traveloka,,,,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
36,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,,,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,handphone,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,,,,,
37,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,"Gojek (GoFood, GoShop, dll)",,fashion,handphone,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,
38,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
39,Perempuan,15-20 tahun,S1,< Rp 2 juta,,,,,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,Lebih banyak pilihan toko dan produk,,,,,
40,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,,,,,,,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
41,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,,,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
42,Laki – laki,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,
43,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,
44,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,Tokopedia,Shopee,,,,fashion,,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
45,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,,Lazada,,,,,,,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,,,"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,
46,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,,,fashion,,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
47,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,,,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
48,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,,"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,
49,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,Tokopedia,,,,,,handphone,makanan/minuman,,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
50,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,,,,
51,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,
52,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,,,buku/koleksi,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
53,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,,,Akses media sosial,,ya,Tokopedia,,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,,,Banyak promo,,,,"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,
54,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,,,,
55,Perempuan,>50 tahun,S1,Rp 5 juta – Rp 10 juta,,,,,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
56,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,handphone,makanan/minuman,tiket pesawat,buku/koleksi,,,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
57,Laki – laki,21-30 tahun,S1,Rp 5 juta – Rp 10 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",Traveloka,,,,tiket pesawat,,,Banyak promo,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
58,Laki – laki,21-30 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
59,Perempuan,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,handphone,,,,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
60,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,,,,,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
61,Perempuan,15-20 tahun,SMA,Rp 5 juta – Rp 10 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,,,fashion,,,,,,,,,Menghindari keramaian (karena COVID-19),"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,
62,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
63,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,ya,Tokopedia,Shopee,Lazada,"Gojek (GoFood, GoShop, dll)",Traveloka,,,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
64,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,,,,,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,,,Dapat belanja kapan saja dan di mana saja,,,,
65,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",Traveloka,fashion,,,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
66,Perempuan,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,,,,Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,
67,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,
68,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,ya,Tokopedia,Shopee,Lazada,,,fashion,,,,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,,"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,
69,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,,,,,,,,tiket pesawat,,,Banyak promo,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
70,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
71,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,Lazada,"Gojek (GoFood, GoShop, dll)",,,,,,,,,,Dapat belanja kapan saja dan di mana saja,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
72,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,,,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,
73,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,,,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
74,Laki – laki,41-50 tahun,S1,Rp 5 juta – Rp 10 juta,,Streaming video/ film,,Akses media sosial,,ya,,Shopee,Lazada,"Gojek (GoFood, GoShop, dll)",,fashion,,,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
75,Perempuan,21-30 tahun,S1,< Rp 2 juta,,,,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
76,Perempuan,>50 tahun,S1,Rp 5 juta – Rp 10 juta,,,,Akses media sosial,,ya,Tokopedia,,Lazada,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,,,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
